9.885714285714284344e+00,4.134285714285714164e+01,4.489999999999999858e+01,4.334285714285714164e+01,4.328571428571429180e+01,4.324285714285714732e+01,4.234285714285714164e+01,4.285714285714285410e+01,4.208571428571428896e+01,4.145714285714285552e+01,3.981428571428571672e+01
9.500000000000000000e+00,6.740000000000000568e+01,6.667142857142856371e+01,6.084285714285714164e+01,6.051428571428571246e+01,6.061428571428570677e+01,5.992857142857143060e+01,5.984285714285714164e+01,5.894285714285714306e+01,5.859999999999999432e+01,5.658571428571428186e+01
9.928571428571428825e+00,5.722857142857142776e+01,6.134285714285714164e+01,6.110000000000000142e+01,6.287142857142856656e+01,6.192857142857143060e+01,6.084285714285714164e+01,6.015714285714285126e+01,5.997142857142857508e+01,5.905714285714284983e+01,5.725714285714285978e+01
1.000000000000000000e+01,5.842857142857143060e+01,6.348571428571428754e+01,5.995714285714285552e+01,6.241428571428571104e+01,6.062857142857143344e+01,5.981428571428571672e+01,5.971428571428572241e+01,6.008571428571428896e+01,5.881428571428571672e+01,5.665714285714285836e+01
9.800000000000000711e+00,6.144285714285714306e+01,6.301428571428571246e+01,5.699999999999999289e+01,5.850000000000000000e+01,5.872857142857142776e+01,5.578571428571428470e+01,5.675714285714285978e+01,5.522857142857142776e+01,5.498571428571428044e+01,5.321428571428571530e+01
1.015714285714285836e+01,6.618571428571428328e+01,6.395714285714285552e+01,6.409999999999999432e+01,6.447142857142857508e+01,6.444285714285715017e+01,6.368571428571429038e+01,6.394285714285714306e+01,6.371428571428571530e+01,6.342857142857142350e+01,6.005714285714284983e+01
9.971428571428571530e+00,6.860000000000000853e+01,6.711428571428571388e+01,6.607142857142856940e+01,6.672857142857142776e+01,6.664285714285715301e+01,6.620000000000000284e+01,6.660000000000000853e+01,6.545714285714285552e+01,6.528571428571427759e+01,6.320000000000000284e+01
1.077142857142857224e+01,6.690000000000000568e+01,6.362857142857142634e+01,6.245714285714285552e+01,6.455714285714286405e+01,6.402857142857142492e+01,6.302857142857143202e+01,6.404285714285714448e+01,6.210000000000000142e+01,6.218571428571429038e+01,6.001428571428570535e+01
9.971428571428571530e+00,6.707142857142856940e+01,6.877142857142857224e+01,6.654285714285714448e+01,6.737142857142856656e+01,6.761428571428571388e+01,6.810000000000000853e+01,6.794285714285713595e+01,6.720000000000000284e+01,6.574285714285714732e+01,6.305714285714285694e+01
9.942857142857143060e+00,7.029999999999999716e+01,7.034285714285714164e+01,6.748571428571428044e+01,6.764285714285713880e+01,6.797142857142857508e+01,6.700000000000000000e+01,6.722857142857142776e+01,6.684285714285714164e+01,6.607142857142856940e+01,6.291428571428571104e+01
